Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1vm9xxj,,,Collection,,,,,The Hekmat al-Qawasmy Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m56n0xfs,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0001|~|165091|~|34826_ca_object_representations_media_119484_original.jpg,The Hekmat al-Qawasmy Collection,,صديقتان,Two Friends,"Laila Abdel-Ghani al-Qawasmi; to the left, with a friend|~|ليلى عبد الغني القواسمي "" يساراً"" برفقة صديقة لها",,,,still image,1970s,1970/1979,نساء، فستان، قواسمي، أصدقاء,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/43131_ca_object_representations_media_119484_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/34826_ca_object_representations_media_119484_original.jpg,https://palarchive.org/index.php/Detail/objects/165091/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,"Laila Abdel-Ghani al-Qawasmi; to the left, with a friend","ليلى عبد الغني القواسمي "" يساراً"" برفقة صديقة لها",,,,
ark:/13030/m5967751,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0012|~|165102|~|4862_ca_object_representations_media_119500_original.jpg,The Hekmat al-Qawasmy Collection,,شاب من سكان القدس,A Young Jerusalemite,Adnan Mahmoud al-Qawasmi; born in Hebron but resides in Jerusalem|~|عدنان محمود القواسمي، مواليد الخليل ومن سكان منطقة القدس,,,,still image,1960s,1960/1969,رجل، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/45073_ca_object_representations_media_119500_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/4862_ca_object_representations_media_119500_original.jpg,https://palarchive.org/index.php/Detail/objects/165102/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,Adnan Mahmoud al-Qawasmi; born in Hebron but resides in Jerusalem,عدنان محمود القواسمي، مواليد الخليل ومن سكان منطقة القدس,,,,
ark:/13030/m5w45kz9,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0013|~|165103|~|61952_ca_object_representations_media_119502_original.jpg,The Hekmat al-Qawasmy Collection,,مسن من الخليل,An Elderly from Hebron,A photograph of Abdel-Hameed Hamid al-Qawasmi; died aged 110. This photo was taken for his ID Card|~|عبد الحميد حامد القواسمي، وهو معمر عاش حتى عمر 110 سنوات، اخذت هذه الصورة من اجل اصدار صورة الهوية,,,,still image,1960s,1960/1969,مسن، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/92231_ca_object_representations_media_119502_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/61952_ca_object_representations_media_119502_original.jpg,https://palarchive.org/index.php/Detail/objects/165103/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,A photograph of Abdel-Hameed Hamid al-Qawasmi; died aged 110. This photo was taken for his ID Card,عبد الحميد حامد القواسمي، وهو معمر عاش حتى عمر 110 سنوات، اخذت هذه الصورة من اجل اصدار صورة الهوية,,,,
ark:/13030/m5mm43j3,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0014|~|165104|~|16610_ca_object_representations_media_119503_original.jpg,The Hekmat al-Qawasmy Collection,,فتاة من عائلة القواسمي,A Girl from al-Qawasmi Family,Makram Khalil al-Qawasmi|~|مكرم خليل القواسمي,,,,still image,1950s,1950/1959,فتاة، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/58464_ca_object_representations_media_119503_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/16610_ca_object_representations_media_119503_original.jpg,https://palarchive.org/index.php/Detail/objects/165104/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,Makram Khalil al-Qawasmi,مكرم خليل القواسمي,,,,
ark:/13030/m5rc4v6j,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0015|~|165105|~|41264_ca_object_representations_media_119504_original.jpg,The Hekmat al-Qawasmy Collection,,طفل بعمر السنة,One Year Old Child,A portrait of Khalil al-Jada' at one year old|~|بورتريه ل خليل الجدع وهو بعمر السنة,,,,still image,1971,1971,طفل، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/91454_ca_object_representations_media_119504_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/41264_ca_object_representations_media_119504_original.jpg,https://palarchive.org/index.php/Detail/objects/165105/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,A portrait of Khalil al-Jada' at one year old,بورتريه ل خليل الجدع وهو بعمر السنة,,,,
ark:/13030/m5gz2256,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0016|~|165106|~|23831_ca_object_representations_media_119506_original.jpg,The Hekmat al-Qawasmy Collection,,طفل من عائلة القواسمي,A Child from al-Qawasmi Family,A Child from al-Qawasmi Family|~|طفل من عائلة القواسمي,,,,still image,1950s,1950/1959,طفل، مقعد، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/82140_ca_object_representations_media_119506_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/23831_ca_object_representations_media_119506_original.jpg,https://palarchive.org/index.php/Detail/objects/165106/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,A Child from al-Qawasmi Family,طفل من عائلة القواسمي,,,,
ark:/13030/m53n9t1n,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0017|~|165107|~|49487_ca_object_representations_media_119508_original.jpg,The Hekmat al-Qawasmy Collection,,طفل من عائلة القواسمي,A Child from al-Qawasmi Family,Mith'her Sa'd ed-Din al-Qawasmi|~|مظهر سعد الدين القواسمي,,,,still image,1968,1968,طفل، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/14891_ca_object_representations_media_119508_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/49487_ca_object_representations_media_119508_original.jpg,https://palarchive.org/index.php/Detail/objects/165107/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,Mith'her Sa'd ed-Din al-Qawasmi,مظهر سعد الدين القواسمي,,,,
ark:/13030/m5s835z1,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0018|~|165108|~|30196_ca_object_representations_media_119510_original.jpg,The Hekmat al-Qawasmy Collection,,طفل من عائلة الجدع,A Child from al-Jada'Family,Khalil Iz ed-Din al-Jada;|~|خليل عز الدين الجدع,,,,still image,1972,1972,طفل، كرسي، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/81294_ca_object_representations_media_119510_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/30196_ca_object_representations_media_119510_original.jpg,https://palarchive.org/index.php/Detail/objects/165108/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,Khalil Iz ed-Din al-Jada;,خليل عز الدين الجدع,,,,
ark:/13030/m57f0jsz,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0019|~|165109|~|12022_ca_object_representations_media_119511_original.jpg,The Hekmat al-Qawasmy Collection,,صديقات في حفل عيد ميلاد,Friends at a Birthday Party,"Friends at a Birthday Party. Soád Bali, Um Yousef Shaheen, and Siham Abu Shamseye are seen in the photo|~|صديقات مجتمعات في حفل عيد ميلاد، عُرف منهن: سعاد بالي، ام يوسف شاهين، سهام أبو شمسية",,,,still image,,,نساء، شال، تنورة، مقاعد، ستائر، القواسمي، حفل، عيد ميلاد,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/78879_ca_object_representations_media_119511_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/12022_ca_object_representations_media_119511_original.jpg,https://palarchive.org/index.php/Detail/objects/165109/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,"Friends at a Birthday Party. Soád Bali, Um Yousef Shaheen, and Siham Abu Shamseye are seen in the photo",صديقات مجتمعات في حفل عيد ميلاد، عُرف منهن: سعاد بالي، ام يوسف شاهين، سهام أبو شمسية,,,,
ark:/13030/m5870616,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0020|~|165110|~|21744_ca_object_representations_media_119513_original.jpg,The Hekmat al-Qawasmy Collection,,طفلة,Child,Child|~|طفلة,,,,still image,,,طفل، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/89212_ca_object_representations_media_119513_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/21744_ca_object_representations_media_119513_original.jpg,https://palarchive.org/index.php/Detail/objects/165110/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,Child,طفلة,,,,
ark:/13030/m54f9fbc,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0021|~|165111|~|10694_ca_object_representations_media_119514_original.jpg,The Hekmat al-Qawasmy Collection,,رجل يرتدي زي تقليدي,A Man in a Traditional Costume,Khalil Hamid al-Qawasmi in a traditional costume; he worked as a monitor of municipal works|~|خليل حامد القواسمي بزيه التقليدي، كان يعمل مراقب اشغال عامة,,,,still image,1950s,1950/1959,رجل، زي تقليدي، حطة، عقال، قمباز، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/40523_ca_object_representations_media_119514_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/10694_ca_object_representations_media_119514_original.jpg,https://palarchive.org/index.php/Detail/objects/165111/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:21,9 March 2021 at 11:15:53,Khalil Hamid al-Qawasmi in a traditional costume; he worked as a monitor of municipal works,خليل حامد القواسمي بزيه التقليدي، كان يعمل مراقب اشغال عامة,,,,
ark:/13030/m5mh5d57,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0022|~|165112|~|30977_ca_object_representations_media_119516_original.jpg,The Hekmat al-Qawasmy Collection,,زوجان,Married Couple,A wedding portrait of Salah al-Qawasmi and his wife|~|بورتريه زفاف يعود ل صلاح لقواسمي وزوجته,,,,still image,1960s,1960/1969,زوجان، عريس، عروسة، طرحة، زهور، بدلة، ربطة عنق، قفازات، مجوهرات، منديل، درج، سلالم، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/38505_ca_object_representations_media_119516_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/30977_ca_object_representations_media_119516_original.jpg,https://palarchive.org/index.php/Detail/objects/165112/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:22,9 March 2021 at 11:15:53,A wedding portrait of Salah al-Qawasmi and his wife,بورتريه زفاف يعود ل صلاح لقواسمي وزوجته,,,,
ark:/13030/m5zw99hw,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0023|~|165113|~|88088_ca_object_representations_media_119518_original.jpg,The Hekmat al-Qawasmy Collection,,ام واطفالها واقاربهم,A Mother with her Children and their Relatives,"Zainab Abdel-Ghani al-Qawasmi with her children and their relatives. Khalil Iz ed-Din al-Qawasmi, Siham, Ilham, Bilal, and Mohammad are seen in the photo|~|زينب عبد الغني القواسمي برفقة أولادها واقارب لها وهم: خليل عز الدين القواسمي، سهام، الهام، بلال، محمد",,,,still image,1970s,1970/1979,أقارب، اشقاء، أطفال، كرسي، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/66187_ca_object_representations_media_119518_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/5/88088_ca_object_representations_media_119518_original.jpg,https://palarchive.org/index.php/Detail/objects/165113/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:22,9 March 2021 at 11:15:53,"Zainab Abdel-Ghani al-Qawasmi with her children and their relatives. Khalil Iz ed-Din al-Qawasmi, Siham, Ilham, Bilal, and Mohammad are seen in the photo",زينب عبد الغني القواسمي برفقة أولادها واقارب لها وهم: خليل عز الدين القواسمي، سهام، الهام، بلال، محمد,,,,
