"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1ps3fh8","","","Collection","","","","","The Ibrahim al-Masri Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1ps3fh8"
"ark:/13030/m55v0xkb","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0011|~|20123|~|90431_ca_object_representations_media_12436_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A restored revenue tax receipt issued by the Government of Mandatory Palestine in 1937, this receipt confirms that ismaʿil Muhammad ʿayed from the sub-district of Ramala paid his rural property tax to the Mandate authorities.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","19 July 1937","1937-07-19","","[31.931566,34.872938]","","","image/jpeg","5496","3387","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/36025_ca_object_representations_media_12436_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/90431_ca_object_representations_media_12436_original.jpg","https://palarchive.org/index.php/Detail/objects/20123/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل No. C 608264","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:12:07","9 March 2021 at 19:26:44","A restored revenue tax receipt issued by the Government of Mandatory Palestine in 1937, this receipt confirms that ismaʿil Muhammad ʿayed from the sub-district of Ramala paid his rural property tax to the Mandate authorities.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm55v0xkb/manifest"
"ark:/13030/m5m11hhm","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0012|~|20124|~|68298_ca_object_representations_media_12437_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","9 February 1936","1936-02-09","","[31.931566,34.872938]","","","image/jpeg","5609","3415","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/8949_ca_object_representations_media_12437_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/68298_ca_object_representations_media_12437_original.jpg","https://palarchive.org/index.php/Detail/objects/20124/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل C. No 363773","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:12:10","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5m11hhm/manifest"
"ark:/13030/m5k14gc7","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0013|~|20125|~|5555_ca_object_representations_media_12438_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","24 November 1942","1942-11-24","","[31.931566,34.872938]","","","image/jpeg","5047","3319","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/5104_ca_object_representations_media_12438_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/5555_ca_object_representations_media_12438_original.jpg","https://palarchive.org/index.php/Detail/objects/20125/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل NO. E 280060","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:12:13","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5k14gc7/manifest"
"ark:/13030/m5ps5726","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0014|~|20111|~|99869_ca_object_representations_media_12439_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","28 May 1945","1945-05-28","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5167","3154","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/81267_ca_object_representations_media_12439_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/99869_ca_object_representations_media_12439_original.jpg","https://palarchive.org/index.php/Detail/objects/20111/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 227","","The Ibrahim al-Masri Collection | Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","22 July 2018 at 13:19:51","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5ps5726/manifest"
"ark:/13030/m52305tv","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0015|~|20131|~|72290_ca_object_representations_media_12440_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","8 December 1939","1939-12-08","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5647","3445","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/54625_ca_object_representations_media_12440_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/72290_ca_object_representations_media_12440_original.jpg","https://palarchive.org/index.php/Detail/objects/20131/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل/No. D 12886","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:36","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm52305tv/manifest"
"ark:/13030/m5sj8xnr","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0016|~|20130|~|57043_ca_object_representations_media_12441_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","24 November 1942","1942-11-24","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5061","3327","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/75297_ca_object_representations_media_12441_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/57043_ca_object_representations_media_12441_original.jpg","https://palarchive.org/index.php/Detail/objects/20130/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل/No. E 280059","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:33","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5sj8xnr/manifest"
"ark:/13030/m5x99pcg","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0017|~|20129|~|24514_ca_object_representations_media_12442_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","13 June 1943","1943-06-13","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5134","3287","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/56069_ca_object_representations_media_12442_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/24514_ca_object_representations_media_12442_original.jpg","https://palarchive.org/index.php/Detail/objects/20129/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; حكومة فلسطين/ وصل بالضريبة المحصل/ No. E 447278","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:31","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5x99pcg/manifest"
"ark:/13030/m59m1pbh","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0018|~|20128|~|33124_ca_object_representations_media_12443_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","1 July 1947","1947-07-01","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","6020","3352","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/28250_ca_object_representations_media_12443_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/33124_ca_object_representations_media_12443_original.jpg","https://palarchive.org/index.php/Detail/objects/20128/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; حكومة فلسطين/ وصل بالضريبة المحصلة/ارملة/ابة شوشة - 1/7/47","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:28","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm59m1pbh/manifest"
"ark:/13030/m5ns860q","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0019|~|20127|~|76864_ca_object_representations_media_12444_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","18 July 1937","1937-07-18","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5474","3390","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/64389_ca_object_representations_media_12444_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/76864_ca_object_representations_media_12444_original.jpg","https://palarchive.org/index.php/Detail/objects/20127/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; حكومة فلسطين/ وصل بالضريبة المحصل No. c 608071","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:25","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5ns860q/manifest"
"ark:/13030/m5dc5czw","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0020|~|20126|~|41373_ca_object_representations_media_12445_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","6 June 1944","1944-06-06","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5228","3090","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/62496_ca_object_representations_media_12445_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/41373_ca_object_representations_media_12445_original.jpg","https://palarchive.org/index.php/Detail/objects/20126/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; حكومة فلسطين/ وصل بالضريبة المحصل No. E 938157","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:23","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5dc5czw/manifest"
"ark:/13030/m5j464n5","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0021|~|20132|~|25188_ca_object_representations_media_12446_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","21 July 1940","1940-07-21","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5711","3406","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/97797_ca_object_representations_media_12446_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/25188_ca_object_representations_media_12446_original.jpg","https://palarchive.org/index.php/Detail/objects/20132/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; حكومة فلسطين/ وصل بالضريبة المحصل/No. D471126","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:15:41","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Mahmoud Hasan Mohammad Abdullah al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم : محمود حسن محمد عبدالله المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5j464n5/manifest"
