Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Note.inscription (old),Note.inscription 2 (old),Alt Title,IIIF Manifest URL
ark:/13030/m5vn1pnv,ark:/21198/z1n06s3x,,Work,1,0001.01.0021|~|42|~|61940_ca_object_representations_media_2753_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""اليوم العالمي للمرأة""، ملصق صادر عن الاتحاد العام للمرأة الفلسطينية، 1980","""International Women's Day"", a GUPW Poster, 1980","This poster was issued by the General Union of Palestinian Women (GUPW) on International Women's Day in 1989, which includes a painting by Palestinian artist Sliman Mansour.|~|ملصق صادر عن الاتحاد العام للمرأة الفلسطينية بمناسبة اليوم العالمي للمرأة عام 1989، ويضم لوحة للفنان الفلسطيني سليمان منصور.",,posters,eng|~|ara,still image,1980; Date issued,1980,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,8 آذار يَوم المرأة العالمي الاتحاد العام للمرأة الفلسطينية|~|8th MARCH  INTERNATIONAL WOMEN'S DAY  GENERAL UNION OF PALESTINIAN WOMEN,image/jpeg,4989,3680,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/79108_ca_object_representations_media_2753_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/61940_ca_object_representations_media_2753_original.jpg,https://palarchive.org/index.php/Detail/objects/42/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 10:22:39,8 December 2022 at 10:06:52,"This poster was issued by the General Union of Palestinian Women (GUPW) on International Women's Day in 1989, which includes a painting by Palestinian artist Sliman Mansour.",ملصق صادر عن الاتحاد العام للمرأة الفلسطينية بمناسبة اليوم العالمي للمرأة عام 1989، ويضم لوحة للفنان الفلسطيني سليمان منصور.,color poster,8 آذار يَوم المرأة العالمي الاتحاد العام للمرأة الفلسطينية,8th MARCH  INTERNATIONAL WOMEN'S DAY  GENERAL UNION OF PALESTINIAN WOMEN,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vn1pnv/manifest
ark:/13030/m57t507v,ark:/21198/z1n06s3x,,Work,1,0001.01.0022|~|27|~|30782_ca_object_representations_media_2754_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""دم الشهداء ضريبة التحرير""، ملصق صادر عن م. ت. ف، 1978","""The Blood of Martyrs is the Toll of Liberation"", a PLO Poster, 1978","Issued by the Palestine Liberation Organization (PLO) in 1978, this poster is for Palestinian Martyr's Day and has the phrase ""The Blood of Martyrs is the Toll of Liberation"" at the bottom.|~|ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية (م.ت.ف) عام 1978 بذكرى يوم الشهيد الفلسطيني، وذُيل بعبارة ""الشهداء ضريبة تحرير فلسطين"".","""The Blood of the Shaheeds"". 1978. the Palestine Liberation Organisation. The Palestine Poster Project. https://www.palestineposterproject.org/poster/the-blood-of-the-shaheeds",posters,eng|~|ara,still image,1978; Date issued,1978,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,دم الشهداء ضريبة تحرير فلسطين يوم الشهيد الفلسطيني منظمة التحرير الفلسطينية الإعلام موحد|~|Shaheeds' Blood is the Toll of Liberation  Palestinian Shaheeds' Day P.L.O UNIFIED INFORMATION,image/jpeg,5940,4197,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/22121_ca_object_representations_media_2754_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/30782_ca_object_representations_media_2754_original.jpg,https://palarchive.org/index.php/Detail/objects/27/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; يوجد ضرر على الأطراف، وتمزق على الجوانب لاسيما الزاوية اليمنى من الأسفل.,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,17 April 2018 at 12:13:54,4 December 2022 at 13:09:03,"Issued by the Palestine Liberation Organization (PLO) in 1978, this poster is for Palestinian Martyr's Day and has the phrase ""The Blood of Martyrs is the Toll of Liberation"" at the bottom.","ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية (م.ت.ف) عام 1978 بذكرى يوم الشهيد الفلسطيني، وذُيل بعبارة ""الشهداء ضريبة تحرير فلسطين"".",color poster,دم الشهداء ضريبة تحرير فلسطين يوم الشهيد الفلسطيني منظمة التحرير الفلسطينية الإعلام موحد,Shaheeds' Blood is the Toll of Liberation  Palestinian Shaheeds' Day P.L.O UNIFIED INFORMATION,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm57t507v/manifest
ark:/13030/m5qw0xx4,ark:/21198/z1n06s3x,,Work,1,0001.01.0023|~|28|~|53192_ca_object_representations_media_2755_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""عقد الأمم المتحدة للمرأة""، ملصق صادر عن الاتحاد العام للمرأة الفلسطينية، 1980","""United Nations Decade for Women"", a GUPW Poster, 1980","Issued by the General Union of Palestinian Women (GUPW) in 1980, this poster is in support of the United Nations Decade for Women.|~|ملصق صادر عن الاتحاد العام للمرأة الفلسطينية عام 1980 دعمًا لعقد الأمم المتحدة للمرأة.","""Decade for Woman"" 1980. The General Union of Palestinian Women. The Palestine Poster Project. https://www.palestineposterproject.org/poster/decade-for-women",posters,eng|~|ara,still image,1980; Date issued,1980,,"copenhagen [55.684129944326,12.571598766162]; palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History|~|Women,"UNITED NATION DECADE FOR WOMEN EQUALITY, DEVELOPMENT AND PEACE GENERAL UNION OF PALESTINIAN WOMEN WORLD CONFERENCE, COPENHAGEN, 14-30 JULY 1980|~|عقد الأمم المتحدة للمرأة مساواة، وتنمية، وسلام الاتحاد العام للمرأة الفلسطينية المؤتمر العالمي للمرأة، كوبنهاﭼين، 14-30 تموز عام 1980",image/jpeg,5780,4069,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/78641_ca_object_representations_media_2755_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/53192_ca_object_representations_media_2755_original.jpg,https://palarchive.org/index.php/Detail/objects/28/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,17 April 2018 at 12:23:24,4 December 2022 at 13:09:47,"Issued by the General Union of Palestinian Women (GUPW) in 1980, this poster is in support of the United Nations Decade for Women.",ملصق صادر عن الاتحاد العام للمرأة الفلسطينية عام 1980 دعمًا لعقد الأمم المتحدة للمرأة.,color poster,"UNITED NATION DECADE FOR WOMEN EQUALITY, DEVELOPMENT AND PEACE GENERAL UNION OF PALESTINIAN WOMEN WORLD CONFERENCE, COPENHAGEN, 14-30 JULY 1980",عقد الأمم المتحدة للمرأة مساواة، وتنمية، وسلام الاتحاد العام للمرأة الفلسطينية المؤتمر العالمي للمرأة، كوبنهاﭼين، 14-30 تموز عام 1980,"""Decade for Women"", a Poster Issued by GUPW, 1980 | ""Decade for Women"", a Poster Issued by GUPW, 1980",https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5qw0xx4/manifest
ark:/13030/m50d266f,ark:/21198/z1n06s3x,,Work,1,0001.01.0024|~|67|~|4009_ca_object_representations_media_2756_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""تحية إلى فتح""، ملصق صادر عن م.ت.ف، 1980","""Salute to Fatah"", a PLO Poster, 1980","In 1980, the Palestine Liberation Organization (PLO) Unified Information published this poster as a salute from the Palestinian revolution factions to the Palestine National Liberation Movement (Fatah) on its launching anniversary. The poster features artwork created by Palestinian artist Tawfiq Abdel-Al.|~|في عام 1980، نشر قسم الإعلام الموحد لمنظمة التحرير الفلسطينية (م.ت.ف) هذا الملصق كتحية من فصائل الثورة الفلسطينية لحركة التحرر الوطني الفلسطيني (فتح) في ذكرى انطلاقتها. كما ويضم الملصق عملًا للفنان التشكيلي الفلسطيني توفيق عبد العال.","""Salutations to Fateh."" 1980. The Palestine Liberation Organisation. The Palestine Poster Project. https://www.palestineposterproject.org/poster/salutations-to-fatah",posters,eng|~|ara,still image,1980; Date issued,1980,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,فتح ديمومة الثورة والعاصفة شعلة الكفاح المسلح 1965-1980 تحيّة الى فتح في ذكرى إنطلافة الثورة فصَائل الثّورة الفلسْطينية م .ت .ف. الإعلام الموحَد P.L.O. UNIFIED INFORMATION|~|Fateh: the persistence of the revolution and al-'aṣefa [i.e. the Fida'i wing of Fateh] is the beacon of the armed struggle (1965-1980) A Salute to Fateh on the Palestinian Revolution Anniversary Palestinian Revolution Factions P.L.O. UNIFIED INFORMATION,image/jpeg,5819,3845,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/17279_ca_object_representations_media_2756_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/4009_ca_object_representations_media_2756_original.jpg,https://palarchive.org/index.php/Detail/objects/67/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,19 April 2018 at 16:26:15,4 December 2022 at 13:11:13,"In 1980, the Palestine Liberation Organization (PLO) Unified Information published this poster as a salute from the Palestinian revolution factions to the Palestine National Liberation Movement (Fatah) on its launching anniversary. The poster features artwork created by Palestinian artist Tawfiq Abdel-Al.",في عام 1980، نشر قسم الإعلام الموحد لمنظمة التحرير الفلسطينية (م.ت.ف) هذا الملصق كتحية من فصائل الثورة الفلسطينية لحركة التحرر الوطني الفلسطيني (فتح) في ذكرى انطلاقتها. كما ويضم الملصق عملًا للفنان التشكيلي الفلسطيني توفيق عبد العال.,color poster,فتح ديمومة الثورة والعاصفة شعلة الكفاح المسلح 1965-1980 تحيّة الى فتح في ذكرى إنطلافة الثورة فصَائل الثّورة الفلسْطينية م .ت .ف. الإعلام الموحَد P.L.O. UNIFIED INFORMATION,Fateh: the persistence of the revolution and al-'aṣefa [i.e. the Fida'i wing of Fateh] is the beacon of the armed struggle (1965-1980) A Salute to Fateh on the Palestinian Revolution Anniversary Palestinian Revolution Factions P.L.O. UNIFIED INFORMATION,"""Salutation to Fateh"", a Poster Issued by the PLO, 1980 | ""Salutation to Fateh"", a Poster Issued by the PLO, 1980",https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm50d266f/manifest
ark:/13030/m5m4066h,ark:/21198/z1n06s3x,,Work,1,0001.01.0025|~|79|~|42653_ca_object_representations_media_2757_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""ياسر عرفات""، ملصق صادر عن م.ت.ف، 1979","""Yasser Arafat"", a PLO Poster, 1979","Issued by the Unified Information of the Palestine Liberation Organization (PLO) in 1979, this poster shows an introspective portrait in charcoal of Yasser Arafat, the former President of the Palestinian Authority. |~|ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية عام 1979، يضم لوحة تشخيصية بالفحم لياسرعرفات، الرئيس السابق للسلطة الفلسطينية.",,posters,,still image,,,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,,image/jpeg,5597,3942,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/95004_ca_object_representations_media_2757_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/42653_ca_object_representations_media_2757_original.jpg,https://palarchive.org/index.php/Detail/objects/79/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,22 April 2018 at 13:26:21,4 December 2022 at 13:12:30,"Issued by the Unified Information of the Palestine Liberation Organization (PLO) in 1979, this poster shows an introspective portrait in charcoal of Yasser Arafat, the former President of the Palestinian Authority.",ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية عام 1979، يضم لوحة تشخيصية بالفحم لياسرعرفات، الرئيس السابق للسلطة الفلسطينية.,black-and-white poster,,,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5m4066h/manifest
ark:/13030/m5bp7d57,ark:/21198/z1n06s3x,,Work,1,0001.01.0026|~|66|~|85997_ca_object_representations_media_2758_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""الأول من أيَّار 1977""، ملصق صادر عن  م.ت.ف، 1977","""First of May 1977"", a PLO Poster, 1977","Issued by the Unified Information of the Palestine Liberation Organization (PLO) on Land Day in 1986, this poster shows a design by Emile Men'em and is attached to a text on the solidarity of the workers of the world with the struggle and resistance of the Palestinian people.|~|ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية بمناسبة يوم الأرض عام 1977، يضم تصميمًا لإيميل منعم. أرفق الملصق بنص عن تضامن عمَّال العالم مع نضال ومقاومة الشعب الفلسطيني.","""1 May 1977."" 1977. The Palestine Liberation Organisation. The Palestine Poster Project . https://www.palestineposterproject.org/poster/1-may-1977",posters,eng|~|ara,still image,1977; Date issued,1977,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,1 أيَّار 1977 1 MAY 1977 يوم تضامن عمال العالم مع كفاح الشعب الفلسطيني DAY OF SOLIDARITY WITH] THE PALESTINIAN PEOPLE فتح ديمومة الثورة والعاصفة شعلة الكفاح المسلح الاعلام [كذا الإعلام] الفلسطيني الموحد / م.ت.ف. UNIFIED INFORMATION P.L.O.,image/jpeg,5575,3888,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/33347_ca_object_representations_media_2758_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/85997_ca_object_representations_media_2758_original.jpg,https://palarchive.org/index.php/Detail/objects/66/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,19 April 2018 at 16:20:58,4 December 2022 at 13:13:19,"Issued by the Unified Information of the Palestine Liberation Organization (PLO) on Land Day in 1986, this poster shows a design by Emile Men'em and is attached to a text on the solidarity of the workers of the world with the struggle and resistance of the Palestinian people.",ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية بمناسبة يوم الأرض عام 1977، يضم تصميمًا لإيميل منعم. أرفق الملصق بنص عن تضامن عمَّال العالم مع نضال ومقاومة الشعب الفلسطيني.,color poster,1 أيَّار 1977 1 MAY 1977 يوم تضامن عمال العالم مع كفاح الشعب الفلسطيني DAY OF SOLIDARITY WITH] THE PALESTINIAN PEOPLE فتح ديمومة الثورة والعاصفة شعلة الكفاح المسلح الاعلام [كذا الإعلام] الفلسطيني الموحد / م.ت.ف. UNIFIED INFORMATION P.L.O.,,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5bp7d57/manifest
ark:/13030/m56x6njv,ark:/21198/z1n06s3x,,Work,1,0001.01.0027|~|43|~|710_ca_object_representations_media_2759_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""دلال المغربي""، ملصق صادر عن حركة فتح، 1978","""Dalal Mughrabi"", a Poster by Fateh, 1978","Issued by Fateh, this poster shows a portrait of Palestinian freedom fighter Dalal Mughrabi attached to a text that read ""Kamal Adwan's Operation... the Martyr of the Palestinian Revolution on 11 March 1978"".|~|ملصق صادر عن حركة التحرر الوطني (فتح) يضم لوحة تشخيصية للفدائية الفلسطينية دلال المغربي مُرفق بنص ""عملية كمال عدوان.. شهيدة الثورة الفلسطينية 11 آذار 1978"".","""Dalal al-Mughrabi"". 1978. The Palestinian National Liberation Movement. The Palestine Poster Project. https://www.palestineposterproject.org/poster/dalal-al-mughrabi",posters,ara,still image,1978; Date issued,1978,,"Palestine [31.952162,35.233154]; [32.178195,34.90761;32.7940463,34.989571]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"عملية الشهيد كمال عدوان 11 آذار 1978 شهيدة الثورة الفلسطينية دلال المغربي العاصفة فتح حركة التحرير الوطن الفلسطيني ثورة حتى النصر|~|The Shaheed Kamal ʿEdwan Operation  11-March-1978 Dalal al-Mughrabi, the Shaheed of the Palestinian Revolution  Al-'aṣefa Fateh Palestinian National Liberation Movement Revolution Until Victory",image/jpeg,5617,4041,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/99613_ca_object_representations_media_2759_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/710_ca_object_representations_media_2759_original.jpg,https://palarchive.org/index.php/Detail/objects/43/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 10:27:19,4 December 2022 at 13:15:07,"Issued by Fateh, this poster shows a portrait of Palestinian freedom fighter Dalal Mughrabi attached to a text that read ""Kamal Adwan's Operation... the Martyr of the Palestinian Revolution on 11 March 1978"".","ملصق صادر عن حركة التحرر الوطني (فتح) يضم لوحة تشخيصية للفدائية الفلسطينية دلال المغربي مُرفق بنص ""عملية كمال عدوان.. شهيدة الثورة الفلسطينية 11 آذار 1978"".",color poster,عملية الشهيد كمال عدوان 11 آذار 1978 شهيدة الثورة الفلسطينية دلال المغربي العاصفة فتح حركة التحرير الوطن الفلسطيني ثورة حتى النصر,"The Shaheed Kamal ʿEdwan Operation  11-March-1978 Dalal al-Mughrabi, the Shaheed of the Palestinian Revolution  Al-'aṣefa Fateh Palestinian National Liberation Movement Revolution Until Victory","""Dalal al-Mughrabi"", a Poster by Fateh, 1978 | ""Dalal al-Mughrabi"", a Poster by Fateh, 1978",https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm56x6njv/manifest
ark:/13030/m5pw3wsr,ark:/21198/z1n06s3x,,Work,1,0001.01.0028|~|50|~|83893_ca_object_representations_media_2760_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""المجد للثورة""، ملصق صادرعن م.ت.ف، 1979","""Glory to the Revolution"", a PLO Poster, 1979","Issued by the Unified Information of the Palestine Liberation Organization (PLO) in 1979, this poster shows a painting by Abder-Rahman al-Muzayyan.|~|ملصق صادرعن الإعلام الموحد لمنظمة التحرير الفلسطينية عام 1979 يضم لوحة لعبد الرحمن المزين.","""Glory to the Revolution."" 1979. The Palestine Liberation Organisation. The Palestine Posters Project. https://www.palestineposterproject.org/poster/glory-to-the-revolution-0",posters,eng|~|ara,still image,1979; Date issued,1979,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,فتح المجد للثورة|~|Fateh Hail All Hail To The Revolution,image/jpeg,6009,4224,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/18416_ca_object_representations_media_2760_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/83893_ca_object_representations_media_2760_original.jpg,https://palarchive.org/index.php/Detail/objects/50/lang/en_US,The Palestinian Museum ,info@palarchive.org,,A cut is found in the lower-left corner.,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 12:49:53,4 December 2022 at 13:16:56,"Issued by the Unified Information of the Palestine Liberation Organization (PLO) in 1979, this poster shows a painting by Abder-Rahman al-Muzayyan.",ملصق صادرعن الإعلام الموحد لمنظمة التحرير الفلسطينية عام 1979 يضم لوحة لعبد الرحمن المزين.,black-and-white poster,فتح المجد للثورة,Fateh Hail All Hail To The Revolution,"""Glory to the Revolution."" a Poster Published Fateh, 1979 | ""Glory to the Revolution."" a Poster Published Fateh, 1979",https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5pw3wsr/manifest
ark:/13030/m5gb9fj4,ark:/21198/z1n06s3x,,Work,1,0001.01.0029|~|40|~|88476_ca_object_representations_media_2761_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""يوم الأرض""، ملصق صادر عن الاتحاد العام للمرأة الفلسطينية، 1977","""Land Day"", a GUPW Poster, 1977","Issued by the General Union of Palestinian Women (GUPW) on Land Day in 1977, this poster shows a cubist painting by the Palestinian artist Mona al-Saudi.|~|ملصق صادر عن الاتحاد العام للمرأة الفلسطينية في يوم الأرض عام 1977 يضم لوحة تكعيبية للفنانة التشكيلية الفلسطينية منى السعودي.","""Land Day in Palestine."" 1977. The General Union of Palestinian Women. The Palestine Posters Project. https://www.palestineposterproject.org/poster/land-day-in-palestine-1",posters,eng|~|ara,still image,1977; Date created,1977,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,30 آذار يوم الأرض الاتحاد العام للمرأة الفلسطينية|~|30 March  LAND DAY IN PALESTINE GENERAL UNION OF PALESTINIAN WOMEN,image/jpeg,5888,3956,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/48776_ca_object_representations_media_2761_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/88476_ca_object_representations_media_2761_original.jpg,https://palarchive.org/index.php/Detail/objects/40/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 10:09:43,4 December 2022 at 13:17:44,"Issued by the General Union of Palestinian Women (GUPW) on Land Day in 1977, this poster shows a cubist painting by the Palestinian artist Mona al-Saudi.",ملصق صادر عن الاتحاد العام للمرأة الفلسطينية في يوم الأرض عام 1977 يضم لوحة تكعيبية للفنانة التشكيلية الفلسطينية منى السعودي.,color poster,30 آذار يوم الأرض الاتحاد العام للمرأة الفلسطينية,30 March  LAND DAY IN PALESTINE GENERAL UNION OF PALESTINIAN WOMEN,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5gb9fj4/manifest
ark:/13030/m5fg13tm,ark:/21198/z1n06s3x,,Work,1,0001.01.0030|~|39|~|38134_ca_object_representations_media_2762_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""الأرض للسواعد التي تحررها""، ملصق صادر  عن م.ت.ف، 1985","""Land Belongs to the Arms that Liberate It"", a PLO Poster, 1985","Issued by the Unified Information of the Palestine Liberation Organization (PLO) on Land Day in 1985, this poster is titled ""Land Belongs to the Arms that Liberate It"".|~|ملصق بعنوان ""الأرض للسواعد التي تحررها"" صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية (م.ت.ف) عام 1985 في ذكرى يوم الأرض.","""The Land is for Those Who Liberate it"". 1980. The Palestine Liberation Organisation. The Palestine Posters Project. www.palestineposterproject.org/poster/the-land-is-for-those-who-liberate-it; ""The Land Belongs to the Arms that Liberate it: March 30, the Land Day"". 1965 - 1980. The Palestine Liberation Organisation. The Library of Congress. https://www.loc.gov/item/yan1996003063/PP/",posters,ara,still image,1985; Date issued,1985,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"الأرض للسواعد التي تحررها 30 آذار يوم الأرض منظمة التحرير الفلسطينية - الاعلام الموحد P. L. O. Unified Information|~|Land  Belongs to  the Arms that Liberate it Land Day, 30 March Palestine Liberation Organization - Unified Information",image/jpeg,4086,5754,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/97734_ca_object_representations_media_2762_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/38134_ca_object_representations_media_2762_original.jpg,https://palarchive.org/index.php/Detail/objects/39/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; ثمة اهتراء بالملصق من أعلى.,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 10:04:50,8 December 2022 at 10:09:07,"Issued by the Unified Information of the Palestine Liberation Organization (PLO) on Land Day in 1985, this poster is titled ""Land Belongs to the Arms that Liberate It"".","ملصق بعنوان ""الأرض للسواعد التي تحررها"" صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية (م.ت.ف) عام 1985 في ذكرى يوم الأرض.",color poster,الأرض للسواعد التي تحررها 30 آذار يوم الأرض منظمة التحرير الفلسطينية - الاعلام الموحد P. L. O. Unified Information,"Land  Belongs to  the Arms that Liberate it Land Day, 30 March Palestine Liberation Organization - Unified Information","""The Land Belongs to the Arms that Liberate it: March 30, the Land Day"", a Poster Published by the PLO 1965-1980; ""The Land is for Those (Fighters) who Liberate it"", a Poster Published by the PLO, 1985 | ""The Land Belongs to the Arms that Liberate it: March 30, the Land Day"", a Poster Published by the PLO 1965-1980; ""The Land is for Those (Fighters) who Liberate it"", a Poster Published by the PLO, 1985",https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5fg13tm/manifest
