Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1ht87wd,,,Collection,,,,,The George al-A'ma Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5093r4h,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0015|~|93489|~|91627_ca_object_representations_media_59994_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,3 October 1924,1924-10-03,,,,,image/jpeg,6916,4498,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/84722_ca_object_representations_media_59994_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/91627_ca_object_representations_media_59994_original.jpg,https://palarchive.org/index.php/Detail/objects/93489/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 3.OCT.1924 2.10.24 4 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m50h1500,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0016|~|93490|~|31189_ca_object_representations_media_59995_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,3 October 1924,1924-10-03,,,,,image/jpeg,6873,4444,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/37167_ca_object_representations_media_59995_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/31189_ca_object_representations_media_59995_original.jpg,https://palarchive.org/index.php/Detail/objects/93490/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 3.OCT.1924 ZN.1486 3خط ازرقOF 2.10.24,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5hj44wc,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0017|~|93491|~|72569_ca_object_representations_media_59996_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,3 October 1924,1924-10-03,,,,,image/jpeg,6851,4455,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/59774_ca_object_representations_media_59996_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/72569_ca_object_representations_media_59996_original.jpg,https://palarchive.org/index.php/Detail/objects/93491/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 3.OCT.1924 -2.10.24 2 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m56t86j6,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0018|~|93492|~|4172_ca_object_representations_media_59997_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لإقامة إسطبل في مشتل زراعي في مدينة القدس أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the building of a stable in an agricultural nursery in Jerusalem",,,,,text,1927,1927,,,,,image/jpeg,6938,4466,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/12094_ca_object_representations_media_59997_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/4172_ca_object_representations_media_59997_original.jpg,https://palarchive.org/index.php/Detail/objects/93492/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; 'TENDER 22 FEB.1927 LENA ABDALAH_ 6 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5327frw,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0019|~|93493|~|30531_ca_object_representations_media_59998_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لإقامة إسطبل في مشتل زراعي في مدينة القدس أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the building of a stable in an agricultural nursery in Jerusalem",,,,,text,1926,1926,,,,,image/jpeg,7014,4498,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/44985_ca_object_representations_media_59998_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/30531_ca_object_representations_media_59998_original.jpg,https://palarchive.org/index.php/Detail/objects/93493/lang/en_US,The Palestinian Museum ,info@palarchive.org,,TENDER 28.FEB.1927 8.2.27 4 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m54536bf,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0020|~|93494|~|84726_ca_object_representations_media_59999_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,An engineering tender for the flooring of the Government Press Office of the British Mandate for Palestine,An engineering tender for the flooring of the Government Press Office of the British Mandate for Palestine,,,,,text,14 January 1926,1926-01-14,,,,,image/jpeg,6884,4400,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/89777_ca_object_representations_media_59999_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/84726_ca_object_representations_media_59999_original.jpg,https://palarchive.org/index.php/Detail/objects/93494/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 14 . JAN .1926 GEORGE KEVORKIAN ABOVE 55 3 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,21 November 2020 at 10:53:05,,,,,,
ark:/13030/m56x6wxp,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0021|~|93495|~|39715_ca_object_representations_media_60000_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة مكتب البريد العام أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the maintenance of the Post Office",,,,,text,1 July 1924,1924-07-01,,,,,image/jpeg,6962,4382,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/98970_ca_object_representations_media_60000_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/39715_ca_object_representations_media_60000_original.jpg,https://palarchive.org/index.php/Detail/objects/93495/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER . 1 JULY .1924 -24.6.1924 DINIVITRI GOUSTRADI 5خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5384vg6,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0022|~|93496|~|4736_ca_object_representations_media_60001_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة مكتب البريد العام أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the maintenance of the Post Office",,,,,text,1 July 1924,1924-07-01,,,,,image/jpeg,6938,4379,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/50021_ca_object_representations_media_60001_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/4736_ca_object_representations_media_60001_original.jpg,https://palarchive.org/index.php/Detail/objects/93496/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER DISTRICT ENGINER JERUSALEM 1.JULY .1927 - 3 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5tj66ht,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0023|~|93497|~|96904_ca_object_representations_media_60002_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة مكتب البريد العام أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the maintenance of the Post Office",,,,,text,1924,1924,,,,,image/jpeg,7014,4422,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/17341_ca_object_representations_media_60002_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/96904_ca_object_representations_media_60002_original.jpg,https://palarchive.org/index.php/Detail/objects/93497/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER STAURI SHAMIR 24-6-1924 39% 2 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m59q0mhk,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0024|~|93498|~|20435_ca_object_representations_media_60003_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة مكتب البريد العام أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the maintenance of the Post Office",,,,,text,1 July 1924,1924-07-01,,,,,image/jpeg,7014,4433,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/80812_ca_object_representations_media_60003_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/20435_ca_object_representations_media_60003_original.jpg,https://palarchive.org/index.php/Detail/objects/93498/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 1.JULY .1924 SOUS 24-6-1922 NO 1 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5cs3d6h,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0025|~|93499|~|4929_ca_object_representations_media_60004_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة مكتب البريد العام أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the maintenance of the Post Office",,,,,text,1 July 1924,1924-07-01,,,,,image/jpeg,6949,4411,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/23275_ca_object_representations_media_60004_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/4929_ca_object_representations_media_60004_original.jpg,https://palarchive.org/index.php/Detail/objects/93499/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 1.JULY.1924  _6_ 6 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:38,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5x99x47,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0026|~|93500|~|28455_ca_object_representations_media_60005_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة مكتب البريد العام أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the maintenance of the Post Office",,,,,text,1 July 1924,1924-07-01,,,,,image/jpeg,7004,4433,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/12142_ca_object_representations_media_60005_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/0/0/28455_ca_object_representations_media_60005_original.jpg,https://palarchive.org/index.php/Detail/objects/93500/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 1JULY .1924 - 9 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:39,9 March 2021 at 11:41:23,,,,,,
